City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebyazh'ye,55.2689,66.4947,-18.51,88,71,6.85,RU,1611351626
Arman',59.7,150.1667,-13.2,79,34,8.59,RU,1611351626
Pochutla,15.7432,-96.4661,87.8,48,20,6.91,MX,1611351627
Lorengau,-2.0226,147.2712,80.49,72,100,3.89,PG,1611351627
Konëvo,62.1215,39.3192,2.37,93,100,8.43,RU,1611351627
Beringovskiy,63.05,179.3167,-5.84,89,2,4.25,RU,1611351627
Benguela,-12.5763,13.4055,74.08,76,35,5.03,AO,1611351628
Ushuaia,-54.8,-68.3,57.2,35,40,13.8,AR,1611351519
Hilo,19.7297,-155.09,78.8,65,75,5.75,US,1611351628
Sinop Province,41.7711,34.8709,34.75,83,9,14.7,TR,1611351628
Taltal,-25.4,-70.4833,69.31,61,22,5.1,CL,1611351629
Berlevåg,70.8578,29.0864,14.0,73,98,13.8,NO,1611351629
Mgandu,-5.95,34.1333,61.14,96,97,2.91,TZ,1611351629
Nguruka,-5.1092,31.0419,65.32,94,100,2.75,TZ,1611351629
Lüderitz,-26.6481,15.1594,71.2,63,0,19.55,NA,1611351629
Mahébourg,-20.4081,57.7,80.6,78,75,9.22,MU,1611351630
Pisco,-13.7,-76.2167,78.8,57,0,11.5,PE,1611351630
Cedar City,37.6775,-113.0619,46.4,53,40,17.27,US,1611351628
Hithadhoo,-0.6,73.0833,81.9,72,99,5.75,MV,1611351630
Kadaya,50.9327,119.2911,-13.5,90,100,3.96,RU,1611351631
Qaanaaq,77.484,-69.3632,15.1,83,94,6.15,GL,1611351631
Grand Forks,47.9417,-97.4337,21.2,73,90,9.22,US,1611351631
Quang Ngai,15.1167,108.8,66.0,91,95,4.94,VN,1611351631
Komsomolsk-on-Amur,50.552,137.0152,-16.76,88,99,4.47,RU,1611351632
Pevek,69.7008,170.3133,-9.36,90,100,11.65,RU,1611351632
Laas,46.6166,10.7002,37.0,100,90,3.78,IT,1611351632
Ilulissat,69.2167,-51.1,23.0,46,39,4.61,GL,1611351632
Tommot,58.9564,126.2925,-32.98,80,100,1.36,RU,1611351633
Escada,-8.3592,-35.2236,80.6,61,40,11.5,BR,1611351633
Jalu,29.0331,21.5482,47.93,55,0,8.14,LY,1611351633
Assiut,27.181,31.1837,50.0,71,0,5.75,EG,1611351633
Port Alfred,-33.5906,26.891,72.0,94,70,4.0,ZA,1611351634
Saint George,37.1041,-113.5841,55.99,46,75,3.44,US,1611351497
Vardø,70.3705,31.1107,15.8,86,75,27.63,NO,1611351634
Ribeira Grande,38.5167,-28.7,62.6,94,75,14.97,PT,1611351634
Vostok,46.4856,135.8833,-10.5,88,1,4.23,RU,1611351635
Tual,-5.6667,132.75,85.06,70,100,5.55,ID,1611351635
Rancho Palos Verdes,33.7445,-118.387,61.0,63,75,11.5,US,1611351635
Souillac,-20.5167,57.5167,80.6,78,75,9.22,MU,1611351635
Umluj,25.0213,37.2685,70.97,40,0,4.79,SA,1611351636
Idaho Falls,43.4666,-112.0341,32.0,86,90,6.91,US,1611351636
Bariloche,-41.1456,-71.3082,91.4,18,0,23.02,AR,1611351636
Arraial do Cabo,-22.9661,-42.0278,78.8,73,40,11.5,BR,1611351636
Pueblo,38.2545,-104.6091,50.0,34,1,8.05,US,1611351637
Buta,2.7858,24.73,71.87,43,76,0.22,CD,1611351637
Bethel,41.3712,-73.414,39.2,45,1,12.66,US,1611351413
Salalah,17.0151,54.0924,73.4,25,0,3.44,OM,1611351637
Gazimurskiy Zavod,51.5461,118.3266,-3.96,88,84,4.23,RU,1611351638
Fuerte Olimpo,-21.0415,-57.8738,79.99,78,99,4.38,PY,1611351638
Río Gallegos,-51.6226,-69.2181,59.0,47,75,23.02,AR,1611351638
Palencia,42.4167,-4.5,39.99,87,48,17.0,ES,1611351638
Verkhnevilyuysk,63.4453,120.3167,-57.51,56,57,2.55,RU,1611351639
Porto Nacional,-10.7081,-48.4172,84.2,70,20,3.44,BR,1611351639
Turukhansk,65.8167,87.9833,-38.43,73,0,6.24,RU,1611351639
Dmitriyevskaya,45.6564,40.7653,31.19,92,15,6.06,RU,1611351640
Chunoyar,57.4467,97.3217,-16.37,86,100,2.57,RU,1611351640
Osa,57.2829,55.4567,-13.92,87,56,5.75,RU,1611351640
Ladário,-19.0047,-57.6017,91.4,66,20,6.91,BR,1611351387
Ugoofaaru,5.6667,73.0,81.66,76,2,9.91,MV,1611351641
Roxana,10.2753,-83.7513,75.2,60,75,17.27,CR,1611351641
Samarai,-10.6167,150.6667,82.8,75,90,6.4,PG,1611351641
Honningsvåg,70.9821,25.9704,14.0,73,0,24.16,NO,1611351641
Kodinsk,58.6881,99.1844,-25.51,84,100,4.5,RU,1611351641
Velyka Lepetykha,47.1757,33.9436,40.01,95,87,14.76,UA,1611351642
Koumac,-20.5667,164.2833,77.2,85,97,8.28,NC,1611351642
Norman Wells,65.282,-126.8329,-9.4,77,40,6.91,CA,1611351642
Paamiut,61.994,-49.6678,23.27,90,1,11.34,GL,1611351643
Teya,60.3778,92.6267,-23.31,83,100,2.44,RU,1611351643
Vila Velha,-20.3297,-40.2925,82.4,69,20,8.05,BR,1611351643
Coquimbo,-29.9533,-71.3436,68.0,68,0,13.8,CL,1611351643
La Ronge,55.1001,-105.2842,1.4,78,99,3.44,CA,1611351644
Mercedes,-34.6515,-59.4307,91.99,46,0,4.0,AR,1611351470
Lander,42.833,-108.7307,30.99,74,20,3.44,US,1611351644
Voh,-20.9667,164.7,75.29,86,100,5.55,NC,1611351644
Severo-Kuril'sk,50.6789,156.125,21.88,87,100,11.63,RU,1611351644
Meadow Lake,34.8014,-106.5436,57.0,43,20,4.61,US,1611351645
Barra Patuca,15.8,-84.2833,80.28,77,12,9.35,HN,1611351645
Bom Jesus da Lapa,-13.255,-43.4181,81.52,44,13,6.62,BR,1611351645
The Valley,18.217,-63.0578,82.4,69,20,10.36,AI,1611351645
Narsaq,60.9167,-46.05,19.4,58,0,3.44,GL,1611351646
Upernavik,72.7868,-56.1549,19.47,81,10,3.51,GL,1611351646
Mugumu,-1.85,34.7,61.27,96,100,3.06,TZ,1611351646
Musayelyan,40.7577,43.9927,-7.6,71,0,1.14,AM,1611351646
Nakapiripirit,1.9167,34.7833,68.95,63,100,6.44,UG,1611351646
Verkhnyaya Inta,65.9811,60.3094,-22.72,87,88,0.85,RU,1611351647
Abéché,13.8292,20.8324,67.03,22,99,9.33,TD,1611351647
Cape Town,-33.9258,18.4232,72.0,94,20,12.66,ZA,1611351628
Lakes Entrance,-37.8811,147.981,63.0,89,50,5.39,AU,1611351647
Marsh Harbour,26.5412,-77.0636,72.81,67,6,13.22,BS,1611351648
El Cobre,20.0489,-75.9469,82.4,69,40,5.75,CU,1611351648
Belmonte,-15.8631,-38.8828,78.8,69,20,8.05,BR,1611351648
Kabanjahe,3.1001,98.4908,73.4,100,75,3.44,ID,1611351648
Puerto Madero,14.7208,-92.4215,89.6,51,20,5.75,MX,1611351649
Port Hardy,50.6996,-127.4199,39.2,75,75,6.91,CA,1611351649
Castelo Branco,39.8222,-7.4909,46.99,82,16,5.99,PT,1611351649
Alofi,-19.0595,-169.9187,84.2,79,100,9.22,NU,1611351650
Kitimat,54.0524,-128.6534,32.0,72,0,3.56,CA,1611351650
George Town,5.4112,100.3354,80.6,83,20,2.3,MY,1611351650
Akdepe,42.0551,59.3788,32.0,80,90,16.11,TM,1611351651
Grindavik,63.8424,-22.4338,26.6,74,20,27.63,IS,1611351651
Port Macquarie,-31.4333,152.9167,77.0,94,40,8.84,AU,1611351651
Esperance,-33.8667,121.9,68.0,68,100,10.92,AU,1611351651
Santa Maria,-29.6842,-53.8069,80.42,63,59,10.78,BR,1611351651
Birao,10.2849,22.7882,69.8,22,10,5.59,CF,1611351652
Sibolga,1.7427,98.7792,74.86,82,81,4.59,ID,1611351652
Dingle,10.9995,122.6711,74.37,86,49,1.9,PH,1611351652
Kununurra,-15.7667,128.7333,78.8,100,100,4.23,AU,1611351652
Hastings,50.8552,0.5729,39.99,82,99,1.99,GB,1611351652
Kermanshah,34.3142,47.065,26.6,59,0,6.91,IR,1611351653
Khatanga,71.9667,102.5,-32.17,84,97,8.41,RU,1611351653
Kavaratti,10.5669,72.642,80.4,72,5,6.51,IN,1611351653
Rudnichnyy,59.617,52.4703,-10.03,89,100,5.32,RU,1611351653
Pirovskoye,57.6267,92.2658,-2.63,91,100,7.18,RU,1611351654
Mount Gambier,-37.8333,140.7667,55.4,94,4,1.14,AU,1611351654
Iranshahr,27.2025,60.6848,50.0,14,0,11.5,IR,1611351654
Castro,-24.7911,-50.0119,66.58,93,100,6.55,BR,1611351654
Gemena,3.25,19.7667,75.09,34,73,2.68,CD,1611351655
Quatre Cocos,-20.2078,57.7625,80.6,78,75,9.22,MU,1611351655
Avarua,-21.2078,-159.775,87.8,66,40,14.97,CK,1611351655
Beyneu,45.3167,55.2,31.46,99,100,18.32,KZ,1611351656
Basqal,40.7552,48.391,24.8,86,0,3.44,AZ,1611351656
Guerrero Negro,27.9769,-114.0611,66.99,50,0,12.03,MX,1611351656
Sitka,57.0531,-135.33,37.4,93,75,8.05,US,1611351656
Benjamin Constant,-4.3831,-70.0311,77.0,83,20,2.3,BR,1611351657
San Juan,-31.5375,-68.5364,98.06,12,0,5.59,AR,1611351657
Raudeberg,61.9875,5.1352,39.0,89,100,10.38,NO,1611351657
Butaritari,3.0707,172.7902,79.32,83,54,10.42,KI,1611351657
Sangre Grande,10.5835,-61.1177,84.2,65,20,11.5,TT,1611351658
Santa Isabel Rio Negro,-0.4139,-65.0192,79.39,91,60,2.75,BR,1611351658
Suntar,62.1444,117.6319,-55.59,63,56,4.03,RU,1611351658
Mar del Plata,-38.0023,-57.5575,78.8,69,0,16.11,AR,1611351587
Cartagena del Chairá,1.3349,-74.8429,73.92,95,84,4.14,CO,1611351659
Tonantins,-2.8731,-67.8022,82.78,76,79,0.76,BR,1611351659
Inírida,3.8653,-67.9239,80.02,86,92,2.19,CO,1611351660
Bengkulu,-3.8004,102.2655,75.04,82,17,5.46,ID,1611351660
Parkes,-33.1333,148.1833,81.0,53,0,5.01,AU,1611351660
Khovd,48.0056,91.6419,11.08,82,100,0.81,MN,1611351660
Ashland,40.8167,-82.2665,27.0,59,90,10.36,US,1611351456
Ponta do Sol,32.6667,-17.1,61.0,79,34,3.0,PT,1611351661
Atuona,-9.8,-139.0333,78.26,77,0,14.43,PF,1611351661
Asău,46.4333,26.4,41.0,55,57,5.19,RO,1611351661
Bongandanga,1.5,21.05,75.27,44,97,1.63,CD,1611351661
Xining,36.6167,101.7667,20.07,66,24,2.57,CN,1611351662
Iqaluit,63.7506,-68.5145,24.8,86,75,17.27,CA,1611351518
Hamilton,39.1834,-84.5333,37.0,48,1,11.5,US,1611351636
Baruun-Urt,46.6806,113.2792,3.85,93,7,10.49,MN,1611351662
Aykhal,66.0,111.5,-44.73,76,71,3.87,RU,1611351663
Roald,62.5833,6.1333,37.4,87,40,6.91,NO,1611351663
Hofn,64.2539,-15.2082,29.89,90,78,28.54,IS,1611351663
Mariehamn,60.0973,19.9348,39.2,81,20,24.16,AX,1611351663
Bela,25.9333,81.9833,50.09,65,0,1.54,IN,1611351664
Saint Anthony,45.0205,-93.218,15.8,41,1,9.22,US,1611351664
Provideniya,64.3833,-173.3,4.77,91,35,3.96,RU,1611351664
Mehrān,33.1222,46.1646,32.0,55,0,6.91,IR,1611351665
Ahipara,-35.1667,173.1667,66.2,60,78,7.05,NZ,1611351665
Tilichiki,60.4667,166.1,-0.83,94,100,8.7,RU,1611351665
Port Said,31.2565,32.2841,60.8,59,20,11.5,EG,1611351666
Quilmaná,-12.95,-76.3833,74.98,64,51,5.84,PE,1611351666
Ürümqi,43.801,87.6005,26.6,93,90,8.95,CN,1611351666
Yerbogachën,61.2767,108.0108,-52.46,74,80,5.68,RU,1611351666
Mozarlândia,-14.7447,-50.5706,78.04,74,87,4.9,BR,1611351666
Leh,34.1667,77.5833,11.55,74,80,5.12,IN,1611351667
Leningradskiy,69.3833,178.4167,-7.69,89,100,13.78,RU,1611351667
Liepāja,56.5419,21.0367,41.0,87,90,6.91,LV,1611351667
Collie,-33.3667,116.15,57.0,84,0,2.3,AU,1611351667
Klaksvík,62.2266,-6.589,33.8,86,20,16.11,FO,1611351668
Yar-Sale,66.8333,70.8333,-37.5,82,69,6.87,RU,1611351668
Gigmoto,13.7796,124.39,79.25,84,48,6.71,PH,1611351668
Kristiansund,63.1115,7.732,37.4,81,20,5.75,NO,1611351668
Cabedelo,-6.9811,-34.8339,78.8,78,75,12.66,BR,1611351586
Frontera,26.9333,-101.45,78.8,38,20,4.61,MX,1611351669
Licheng,23.2955,113.8284,64.99,82,0,8.95,CN,1611351669
Vao,-22.6667,167.4833,76.44,78,100,21.88,NC,1611351669
Ardakān,32.31,54.0175,30.2,40,0,4.61,IR,1611351670
Vila Franca do Campo,37.7167,-25.4333,61.0,94,20,17.27,PT,1611351670
Inhambane,-23.865,35.3833,80.04,89,87,13.44,MZ,1611351670
Flin Flon,54.7682,-101.865,-2.2,78,90,4.61,CA,1611351670
Wahiawā,21.5028,-158.0236,82.4,47,40,11.5,US,1611351671
Cockburn Town,21.4612,-71.1419,78.8,73,40,4.61,TC,1611351671
Yarmouth,41.7057,-70.2286,39.99,60,75,10.51,US,1611351671
Hasaki,35.7333,140.8333,48.2,76,75,16.11,JP,1611351546
Durazno,-33.4131,-56.5006,89.6,45,40,9.22,UY,1611351672
Buin,-33.7333,-70.75,88.0,35,0,8.05,CL,1611351672
Santa Fe,-31.6333,-60.7,96.01,41,12,5.01,AR,1611351471
Ostrovnoy,68.0531,39.5131,-1.12,92,93,15.01,RU,1611351672
Soubre,5.7856,-6.6083,74.82,79,4,3.33,CI,1611351672
Torbay,47.6666,-52.7314,26.01,86,20,16.11,CA,1611351673
Joshīmath,30.5667,79.5667,46.02,41,100,1.45,IN,1611351673
Bondoukou,8.0333,-2.8,76.28,18,0,1.97,CI,1611351673
Tabou,4.423,-7.3528,78.48,84,7,6.67,CI,1611351674
Tavricheskoye,54.5851,73.6395,-18.4,76,98,4.47,RU,1611351674
Kahului,20.8947,-156.47,80.6,54,20,21.85,US,1611351520
Solnechnyy,50.7214,136.6319,-12.71,80,17,3.49,RU,1611351674
Chokurdakh,70.6333,147.9167,-43.85,79,30,2.95,RU,1611351675
Nova Aurora,-22.8667,-52.5667,76.8,79,71,3.49,BR,1611351675
Biasca,46.3597,8.9697,34.0,100,75,5.75,CH,1611351675
Port Blair,11.6667,92.75,75.4,73,15,8.99,IN,1611351675
Divnogorsk,55.9594,92.3619,3.2,85,75,2.24,RU,1611351675
Oddur,4.1213,43.8894,74.98,65,27,14.43,SO,1611351676
Tanout,14.9709,8.8879,61.84,28,1,11.65,NE,1611351676
Saraland,30.8207,-88.0706,66.0,92,100,1.01,US,1611351676
Ulladulla,-35.35,150.4667,75.2,57,68,8.05,AU,1611351676
Coahuayana Viejo,18.7333,-103.6833,87.8,33,40,6.29,MX,1611351677
Saint-Philippe,-21.3585,55.7679,78.8,78,0,4.61,RE,1611351677
Fortuna,40.5982,-124.1573,52.0,76,90,13.8,US,1611351677
Williamsburg,37.2707,-76.7075,57.2,30,1,12.66,US,1611351469
Sisimiut,66.9395,-53.6735,20.64,81,9,5.23,GL,1611351678
Galveston,29.3669,-94.9669,69.8,83,90,4.61,US,1611351678
Benghazi,32.1167,20.0667,55.67,49,0,13.98,LY,1611351678
Tutóia,-2.7619,-42.2744,84.2,79,75,11.5,BR,1611351678
Diedorf,48.35,10.7667,39.0,81,75,6.91,DE,1611351678
Touros,-5.1989,-35.4608,80.6,74,40,12.66,BR,1611351679
Pundaguitan,6.3711,126.1689,81.34,76,100,6.53,PH,1611351679
Ulaangom,49.9811,92.0667,-8.93,87,100,1.95,MN,1611351679
Toktogul,41.8708,72.9402,18.07,86,99,1.97,KG,1611351679
Port Keats,-14.25,129.55,78.78,87,100,4.81,AU,1611351680
Puerto Madryn,-42.7692,-65.0385,88.16,25,1,19.13,AR,1611351546
Henties Bay,-22.116,14.2845,70.0,86,100,2.89,NA,1611351680
Salta,-24.7859,-65.4117,78.8,47,75,6.91,AR,1611351680
Sakaiminato,35.55,133.2333,50.0,93,75,18.41,JP,1611351681
San Ramon,37.7799,-121.978,53.01,71,90,11.5,US,1611351433
Ponta Delgada,37.7333,-25.6667,61.0,94,20,17.27,PT,1611351409
Ferme-Neuve,46.7001,-75.4493,15.8,79,100,8.05,CA,1611351681
George,-33.963,22.4617,66.2,100,90,5.75,ZA,1611351682
Tsotíli,40.2667,21.3167,46.4,66,95,8.05,GR,1611351682
Brae,60.3964,-1.353,39.2,65,20,24.16,GB,1611351682
Pandan,14.0453,124.1694,77.43,85,20,3.8,PH,1611351682
Aripuanã,-9.1667,-60.6333,77.07,95,64,1.66,BR,1611351449
Mogadishu,2.0371,45.3438,77.65,87,12,18.32,SO,1611351683
Maningrida,-12.0667,134.2667,76.37,89,100,6.98,AU,1611351683
Saint Paul Harbor,57.79,-152.4072,35.6,93,90,3.36,US,1611351683
Kholm,59.2667,32.85,33.85,93,100,9.01,RU,1611351684
Cruzília,-21.8386,-44.8083,66.49,87,73,5.61,BR,1611351684
Dhārchula,29.85,80.5333,50.94,41,100,1.7,IN,1611351684
Adrar,20.5022,-10.0711,66.72,20,100,10.89,MR,1611351684
Aonla,28.2833,79.15,50.2,60,0,5.14,IN,1611351685
Vanimo,-2.6741,141.3028,79.03,76,100,4.38,PG,1611351685
Tigil',57.8,158.6667,-14.62,89,39,0.87,RU,1611351685
Evensk,61.95,159.2333,2.71,92,100,5.66,RU,1611351686
Motema,8.6,-11.0333,70.65,42,96,1.48,SL,1611351687
Flinders,-34.5833,150.8552,77.0,72,25,1.99,AU,1611351687
Kennett,36.2362,-90.0556,46.4,39,1,13.8,US,1611351687
Chāpra,25.7667,84.75,50.0,100,90,1.36,IN,1611351687
Zacualpan,21.25,-105.1667,84.2,37,1,9.22,MX,1611351688
San Policarpo,12.1791,125.5072,80.83,85,12,8.23,PH,1611351688
Fukuechō,32.6881,128.8419,58.78,93,100,17.05,JP,1611351688
Tessaoua,13.7574,7.9874,63.54,26,77,10.2,NE,1611351688
Clyde River,70.4692,-68.5914,-5.8,84,40,9.22,CA,1611351688
Erzin,36.9559,36.2,45.0,61,10,1.01,TR,1611351689
Delray Beach,26.4615,-80.0728,80.01,50,1,9.22,US,1611351546
Terrace,54.5163,-128.6035,26.6,68,20,11.5,CA,1611351551
Palmas Bellas,9.2319,-80.0867,82.0,70,83,11.99,PA,1611351689
Pajapan,18.25,-94.7,82.4,65,40,11.5,MX,1611351690
Pathalgaon,22.5667,83.4667,54.01,39,0,3.78,IN,1611351690
Micheweni,-4.9667,39.8333,81.0,78,67,12.91,TZ,1611351690
Kaeo,-35.1,173.7833,71.01,64,10,3.0,NZ,1611351690
Zhoukou,33.6333,114.6333,38.73,78,85,5.7,CN,1611351691
Kavieng,-2.5744,150.7967,82.09,71,96,6.15,PG,1611351691
Tirano,46.2154,10.1679,46.0,70,100,3.42,IT,1611351691
Caravelas,-17.7125,-39.2481,76.39,81,11,6.33,BR,1611351692
Lavrentiya,65.5833,-171.0,3.42,93,98,3.38,RU,1611351692
Longyearbyen,78.2186,15.6401,8.6,72,20,14.97,SJ,1611351692
Ancud,-41.8697,-73.8203,80.6,47,0,11.5,CL,1611351692
Cidreira,-30.1811,-50.2056,74.61,84,78,17.34,BR,1611351655
Petropavlovsk-Kamchatskiy,53.0452,158.6483,5.0,66,100,6.71,RU,1611351693
Safi,32.2994,-9.2372,59.49,90,9,9.31,MA,1611351693
Cherskiy,68.75,161.3,-30.05,83,100,4.43,RU,1611351693
Dubbo,-32.25,148.6167,75.2,60,0,4.61,AU,1611351694
Mayo,38.8876,-76.5119,46.4,42,1,11.5,US,1611351694
Port Lincoln,-34.7333,135.8667,72.28,56,0,13.58,AU,1611351694
Camacha,33.0833,-16.3333,59.0,94,20,2.3,PT,1611351694
High Level,58.5169,-117.136,3.2,78,40,14.97,CA,1611351695
Sokolo,14.7328,-6.1219,71.64,19,0,11.34,ML,1611351695
Faya,18.3851,42.4509,55.4,35,12,4.61,SA,1611351695
Wu’an,31.6836,112.0044,41.04,67,0,5.1,CN,1611351695
Nemuro,43.3236,145.575,19.76,90,48,17.49,JP,1611351696
Arlit,18.7369,7.3853,62.28,26,0,4.9,NE,1611351696
Katobu,-4.9408,122.5276,75.2,93,20,1.52,ID,1611351696
Kaitangata,-46.2817,169.8464,55.99,61,100,3.0,NZ,1611351696
Unaí,-16.3575,-46.9061,73.56,78,56,4.9,BR,1611351696
Waddān,29.1614,16.139,52.77,41,0,10.45,LY,1611351494
Nucet,44.7833,25.55,39.99,72,70,3.91,RO,1611351697
Erice,38.037,12.5865,57.99,88,0,21.85,IT,1611351697
Morón,-34.6534,-58.6198,90.0,36,0,5.01,AR,1611351697
Bonavista,48.6499,-53.1147,27.0,93,53,10.36,CA,1611351698
Beli Manastir,45.77,18.6036,50.0,81,0,12.66,HR,1611351698
Havøysund,70.9963,24.6622,10.4,72,20,24.16,NO,1611351698
Eilat,29.5581,34.9482,57.2,30,0,9.22,IL,1611351698
Kenora,49.8167,-94.4337,8.6,72,90,6.91,CA,1611351418
Pakxan,18.3778,103.6601,60.26,78,1,3.38,LA,1611351699
Muli,2.9167,73.5667,82.04,74,41,7.72,MV,1611351699
Rapid Valley,44.0625,-103.1463,33.01,59,75,11.5,US,1611351699
Valleyview,55.0667,-117.2859,19.4,73,100,10.36,CA,1611351699
Goālpāra,26.1667,90.6167,58.03,79,0,3.18,IN,1611351700
Biak,-0.9131,122.8766,77.22,75,100,3.42,ID,1611351700
Nochistlán de Mejía,21.3667,-102.85,77.0,15,1,16.11,MX,1611351700
Kushiro,42.975,144.3747,12.49,89,0,5.23,JP,1611351700
Plácido de Castro,-10.3353,-67.1856,74.01,97,94,2.15,BR,1611351701
Stykkisholmur,65.0757,-22.7297,26.78,90,40,34.83,IS,1611351701
East London,-33.0153,27.9116,77.09,88,65,14.34,ZA,1611351701
Touho,-20.7833,165.2333,76.39,88,100,20.71,NC,1611351702
Husavik,66.0449,-17.3389,28.4,86,90,33.38,IS,1611351702
The Pas,53.8251,-101.2541,3.2,72,20,4.61,CA,1611351702
Reconquista,-29.15,-59.65,88.02,50,94,7.56,AR,1611351702
Wanning,18.8003,110.3967,66.06,89,0,3.44,CN,1611351421
Glendive,47.1053,-104.7125,32.0,59,1,5.75,US,1611351703
Tasiilaq,65.6145,-37.6368,10.4,56,0,2.3,GL,1611351703
Harboøre,56.6175,8.1807,41.0,88,69,1.01,DK,1611351703
Richards Bay,-28.783,32.0377,73.17,83,4,8.81,ZA,1611351703
Kalmunai,7.4167,81.8167,76.17,81,14,5.1,LK,1611351703
